Aachener Straße;AAC
Am Anger;AAN
Am Altfrankener Park;AAP
Alberthafen;ABH
Altenberger Platz;ABP
Abzweig nach Reick;ABR
Am Brüchigt;ABT
Altburgstädtel;ABU
Achtbeeteweg;ABW
Altcotta;ACO
Altdobritz;ADB
An der Flutrinne;ADF
Auf der Höhe;ADH
An der Obstplantage;ADO
An der Rennbahn;ADR
An den Winkelwiesen;ADW
Agentur für Arbeit;AFA
Am Festspielhaus;AFE
Altfranken;AFR
Am Galgenberg;AGB
Arno-Holz-Allee;AHA
Am Hellerhof;AHH
Ahlbecker Straße;AHL
Am Hellerrand;AHR
Altkaitz;AKA
Altkaditz;AKD
Altklotzsche;AKL
Alaunplatz;ALA
Altenberger Straße;ALB
Altleuben;ALN
Altlockwitz;ALO
Albertplatz;ALP
Atlplauen;ALT
Altleubnitz;ALZ
Amselgrund;AMG
Am Lehmberg;AML
Altmockritz;AMO
Amalie-Dietrich-Platz;AMP
Amselsteg;AMS
Altmarkt;AMT
Altnaußlitz;ANA
Angelikastraße;ANG
Altnossener Straße;ANS
Am Olter;AOL
Altomsewitz;AOM
Altpieschen;API
An der Post;APO
Alexander-Puschkin-Platz;APU
Am Querfeld;AQU
Altreick;ARE
Arkonastraße;ARK
Am Steinacker;ASA
Arno-Schellenberg-Straße;ASC
Am Schöpsdamm;ASD
Alter Schlachthof;ASH
Am Steinigt;ASI
Am Steinkreuz;ASK
Adalbert-Stifter-Weg;AST
Am Trachauer Bahnhof;ATB
Alfred-Thiele-Straße;ATH
Alttolkewitz;ATO
Alttrachau;ATR
Alttorna;ATT
Augsburger Straße;AUG
Am Urnenfeld;AUR
Am Weißen Adler;AWA
Am Weißiger Bach;AWB
Altwilschdorf;AWD
A.-Weineck-Straße;AWK
Albert-Wolf-Platz;AWP
Am Waldrand;AWR
Am Wiesenrand;AWS
Altwachwitz;AWW
Am Zwingerteich;AZT
Babisnauer Straße;BAB
Bärensteiner Straße;BAE
Bamberger Straße;BAM
Bannewitzer Straße;BAN
Borsbergblick;BBB
Budapester Straße;BDP
Bodemerweg;BDW
Beckerstraße;BEC
Beerenhut;BEH
Bernhardstraße;BER
Bahnhof Grenzstraße;BFG
Bahnhof Klotzsche;BFK
Bahnhof Neustadt;BFN
Bahnhof Reick;BFR
Berggartenstraße;BGG
Berggießhübler Straße;BGH
Burgkstraße;BGK
Burgenlandstraße;BGL
Bürgerstraße;BGR
Bergfelderweg;BGW
Bahnhofstraße;BHF
Bonhoefferplatz;BHP
Berthold-Haupt-Straße;BHT
Bischofsplatz;BIP
Birkenhainer Straße;BIR
Bischofsweg;BIW
Birkenstraße;BKS
Bergmannstraße;BMA
Bahnhof Mitte;BMI
Böhmertstraße;BMS
Bf. Neustadt (Hansastraße);BNH
Bönischplatz;BNP
Bünaustraße;BNS
Oberloschwitz;BOLO
Boxdorfer Straße;BOX
Bremer Straße;BRM
Breitscheidstraße;BRS
Brunnenweg;BRU
Bedrich-Smetana-Straße;BSM
Bautzner/Rothenburger Str.;BTZ
Buchenstraße;BUC
Bühlau Ullersdorfer Platz;BUE
Bunsenstraße;BUN
Betriebshof Walterstraße;BWA
Weißer Hirsch;BWHI
Bärwalder Straße;BWR
Cäcilienstraße;CAC
Calberlastraße;CAL
Cämmerswalder Straße;CAM
Carolaplatz;CAP
C.-David-Friedrich-Straße;CDF
Chamissostraße;CHA
Chemnitzer Straße;CHE
Clausen-Dahl-Straße;CLD
Campingplatz Mockritz;CMO
Conertplatz;CNP
Cottaer Straße;COA
Cossebauder Straße;COB
Comeniusplatz;COP
Corinthstraße;COR
Coventrystraße;COV
Coschütz;COZ
Cossebaude Bahnhof;CSB
Coschützer Straße;CSS
Cunnersdorfer Straße;CUD
Cunewalder Straße;CUW
Clara-Viebig-Straße;CVI
Clara-Zetkin-Straße;CZN
Dahlienweg;DAH
Dampfschiffstraße;DAM
Dorothea-Erxleben-Straße;DEX
Dorfhainer Straße;DFH
Deutsches Hygiene-Museum;DHM
Droste-Hülshoff-Straße;DHS
Diakonissenkrankenhaus;DIK
Dölzschener Straße;DLZ
Dörnichtweg;DNW
Dorfstraße;DOF
Dohnaer Straße;DOH
Dölzschen;DOL
Dorfplatz Oberpoyritz;DOP
Dornblüthstraße;DOR
Dreyßigplatz;DRP
Dora-Stock-Straße;DSS
Dürerstraße;DUR
Dammweg;DWE
Erna-Berger-Straße;EBE
Ebertplatz;EBP
Eugen-Bracht-Straße;EBR
Eisenbahnstraße;EBS
Enno-Heidebroek-Straße;EHS
Eichbergstraße;EIC
Erich-Kästner-Straße;EKA
Elisabethstraße;ELI
Elsterweg;ELS
ElbePark;EPK
Eschebachstraße;ESB
Elbschlösser;ESL
Ernst-Toller-Straße;ETO
Fabricestraße;FAS
Hp. Freiberger Straße;FBG
Fußweg nach Borthen;FBO
Fetscherplatz;FEP
Blasewitzer/Fetscherstraße;FET
Flugzeugwerke;FGW
Friedhof Leuben;FHL
Fraunhofer-Inst.-Zentrum;FIZ
Johannstadt Fähre;FJOF
Frankenbergstraße;FKB
Kleinzschachwitz, Fähre;FKLF
Flensburger Straße;FLE
Flughafenstraße;FLH
Försterlingstraße;FLR
Flughafen;FLU
Flügelweg;FLW
Fritz-Meinhardt-Straße;FME
Fehrmannweg;FMW
Neustadt, Fähre;FNEU
Niederpoyritz, Fähre;FNPO
Pillnitz, Fähre;FPIL
Freiheit;FRE
Friedensstraße;FRI
Festspielhaus Hellerau;FSH
Fernsehturm;FST
Fontane-Center;FTC
Tolkewitz, Fähre;FTOL
Fürstenhainer Straße;FTS
Fuchsberg;FUB
Flughafen West;FWE
Freibad Wostra;FWO
Gabelsbergerstraße;GAB
Gamigstraße;GAM
Gasanstaltstraße;GAS
Gondelweg;GDW
Georg-Arnhold-Bad;GEA
Geblerstraße;GEB
Gerichtsstraße;GER
Großenh./F.-Reuter-Straße;GFS
Gustav-Freytag-Straße;GFT
Gewerbegebiet Gittersee;GGG
Großglocknerstraße;GGL
Gewerbegebiet Kaditz;GKA
Gottfried-Keller-Straße;GKE
Görlitzer Straße;GLS
Gompitzer Höhe;GMH
Gombsener Straße;GMS
Grüner Weg;GNW
Gorbitzer Straße;GOB
Gohlis;GOH
Gönnsdorf;GON
Gorbitz, Betriebshof;GOR
Gottleubaer Straße;GOT
Gohliser Weg;GOW
Georg-Palitzsch-Straße;GPA
Gret-Palucca-Straße;GPS
Göppersdorfer Weg;GPW
Grundstraße;GRD
Grenzstraße;GRE
Grillparzerstraße;GRI
Btf. Gruna (Tiergartenstraße);GRN
Gerokstraße;GRO
Großenhainer Platz;GRP
Gartenstraße;GRS
Grunaer Weg;GRW
Guerickestraße;GUE
Güntzplatz;GUN
Gustavheim;GUS
Gutenbergstraße;GUT
Gasthof Weißig;GWE
St.-Benno-Gymnasium;GYM
Hamburger Straße;HAM
Hans-Oster-Straße;HAO
Hellerberge;HBE
Hauptbahnhof;HBF
Hauptbahnhof Nord;HBN
Heeresbäckerei;HBR
Hutbergschule;HBS
Hugo-Bürkner-Straße;HBU
Hans-Dankner-Straße;HDA
Hebbelplatz;HEB
Heckenweg;HEC
Heidefriedhof;HEF
Hegereiterstraße;HEG
Hepkeplatz;HEK
Hellerau Kiefernweg;HEL
Hepkestraße;HEP
Zum Heiderand;HER
Heidestraße;HES
Hüfnerweg;HFW
Hülße-Gymnasium;HGM
Hutbergstraße;HGS
Hellerhofstraße;HHO
Hohe Straße;HHS
Helmholzstraße;HHZ
Hirtenstraße;HIR
Hugo-Junkers-Ring;HJR
Liststraße (Harkortstraße);HKT
Höckendorfer Weg;HKW
Hellersiedlung;HLS
Hermann-Michel-Straße;HMI
Hendrichstraße;HNS
Hänichenweg;HNW
Hohlweg;HOH
Hornweg;HOR
Heilbronner Straße;HOS
Hp. Dobritz;HPD
Heideparkstraße;HPK
Hp. Plauen;HPL
Hp. Pieschen;HPP
Hp. Strehlen;HPS
Hp. Weixdorf Bad;HPW
Helena-Rott-Straße;HRS
Hermann-Seidel-Straße;HSE
Heinrich-Schütz-Straße;HSS
Hp.Trachau;HTR
Heinrich-Tessenow-Weg;HTW
Hubertusplatz;HUB
Hülßestraße;HUL
Hüblerplatz;HUP
Heinrich-Zille-Straße;HZS
Industriegebiet Nord;IDN
Infineon Nord;IFN
Infineon Süd;IFS
Ikarusweg;IKW
Industriegelände;IND
Innsbrucker Straße;INN
Industriepark Klotzsche;IPK
Johannes-Brahms-Straße;JBR
Jacobistraße;JCS
Jüngststraße;JGS
Josef-Herrmann-Straße;JHE
Johannisfriedhof;JHF
Junghansstraße;JHS
Johannstadt;JOH
Josephinenstraße;JOP
Julius-Otto-Straße;JOT
Jägerpark;JPK
Justizvollzugsanstalt;JUZ
Julius-Vahlteich-Straße;JVA
Jacob-Winter-Platz;JWP
Kaditz Am Vorwerksfeld;KAD
Kapellenweg;KAP
Karcherallee;KAR
Kasseler Straße;KAS
Kauschaer Straße;KAU
Kaditzer Straße;KDS
Kelterei;KEL
Keppgrundstraße;KEP
Keulenbergstraße;KEU
Krügerstraße;KGS
Kongresszentrum;KGZ
Krhs. Friedrichstadt;KHF
Krhs. St. Joseph-Stift;KHJ
Krankenhaus Neustadt;KHN
Königsheimplatz;KHP
Infineon;KIN
Kirschenstraße;KIR
Käthe-Kollwitz-Ufer;KKU
Käthe-Kollwitz-Platz;KKW
Kleestraße;KLE
Kleinzschachwitz, Fähre;KLF
Kolpingstraße;KLG
Kleinnaundorfer Straße;KLN
Klosterteichplatz;KLP
Kölner Straße;KLS
Klettestraße;KLT
Karl-Laux-Straße;KLX
Kleinzschachwitz, Freystraße;KLZ
Karl-Marx-Straße;KMX
Knappestraße;KNA
Körnerplatz;KNP
Koblenzer Straße;KOB
Kohlsdorfer Landstraße;KOH
Kopernikusstraße;KOP
Koreanischer Platz;KOR
Koloniestraße;KOS
Kotteweg;KOT
Kotzschweg;KOZ
Kipsdorfer Straße;KPS
Krebser Straße;KRB
Krebser Straße Nord;KRN
Kretschmerstraße;KRT
Karlshagener Weg;KRW
Kurzer Schritt;KSC
Kadenstraße;KSE
Kastanienstraße;KST
Künstlerhaus;KTN
Kurt-Tucholsky-Straße;KTS
Kaitzer Straße;KTZ
Kurhausstraße;KUR
Laibacher Straße;LAI
Lassallestraße;LAS
Lauterbacher Straße;LAU
Laubegast;LBG
Leubnitzer Höhe;LBH
Leiblstraße;LBL
Leubener Straße;LBN
Liebenauer Straße;LBS
Landesdirektion;LDD
Anton-/Leipziger Straße;LEI
Lenneplatz;LEN
Lengefelder Straße;LFS
Lene-Glatzer-Straße;LGL
Ludwig-Hartmann-Straße;LHA
Lipsiusstraße;LIP
Liststraße;LIS
Lise-Meitner-Straße;LME
Lockwitz;LOC
Louisenstraße;LOI
Lohmener Straße;LOM
Lößnitzstraße;LON
Lohrmannstraße;LOR
Lößnitzweg;LOW
Ludwig-Renn-Allee;LRA
Liebstädter Straße;LST
Leutewitz;LTW
Ludwigstraße;LUD
Luga;LUG
Marienallee;MAA
Marienberger Straße;MAB
Malerstraße;MAL
Manitiusstraße;MAN
Merianplatz;MAP
Maxstraße;MAX
Moritzburger Platz;MBP
Messe, Gleisschleife;MEG
Messering (Halle 1);MEH
Mengsstraße;MEN
Merbitzer Straße;MER
MESSE DRESDEN;MES
Meußlitzer Straße;MEU
Mansfelder Straße;MFS
Maxim-Gorki-Straße;MGS
Mohorner Straße;MHS
Mickten;MIC
Michaelisstraße;MIS
Markusfriedhof;MKF
Mühlenstraße;MLS
Moosleite;MLW
Mockritz;MOC
M.-Oeder-Straße;MOE
Mockritzer Straße;MOK
Mommsenstraße;MOM
Martin-Opitz-Straße;MOP
Mordgrundbrücke;MOR
Mosenstraße;MOS
Moritzburger Weg;MOW
Malterstraße;MTR
Mockethaler Straße;MTS
Münzteichweg;MTW
Mügelner Straße;MUG
Münchner Platz;MUP
Marie-Wittich-Straße;MWI
Nätherstraße;NAE
Neuer Annenfriedhof;NAF
Neuostra;NEA
Neubertstraße;NEU
Niedergohlis Dorfstraße;NGD
Niedergohlis Südstraße;NGS
Alter Postweg;NIC
Nickerner Weg;NIW
Neuländer Straße;NLS
Neustädter Markt;NMT
Neunimptscher Straße;NNI
Nordstraße;NOR
Bahnhof Niedersedlitz;NSD
Niedersedlitzer Platz;NSP
Niedersedlitzer Straße;NST
Niederseidewitzer Weg;NSW
Nöthnitzer Straße;NTN
Nürnberger Platz;NUP
Niederwartha;NWA
Niederwaldplatz;NWP
Niederwaldstraße;NWS
Oberauer Straße;OBE
Ockerwitz;OCW
Otto-Dix-Ring;ODX
Oederaner Straße;OED
Oehmestraße;OEH
P+R Ostragehege;OGP
Obergohlis;OGS
Ockerwitzer Straße;OKW
Oskar-Maune-Straße;OMA
Omsewitz;OMS
Otto-Pilz-Straße;OPI
Oschatzer Straße;OSC
Ob. Station Schwebebahn;OSS
Overbeckstraße;OVE
Palaisplatz;PAP
Plauenscher Ring;PAR
Prof.-Billroth-Straße;PBI
Putbuser Weg;PBW
Pennrich;PEN
Pennricher Straße;PER
Pferderennbahn;PFB
Pfeifferhannsstraße;PFH
Pfotenhauerstraße;PFO
Prager Straße;PGS
Proschhübelstraße;PHS
Pillnitz;PIL
Pirnaischer Platz;PIP
Pillnitzer Platz;PLP
Plauen, Rathaus;PLR
Platanenstraße;PLT
Permoserstraße;PMS
Podemusstraße;POD
Pohlandplatz;POH
Postplatz;POS
Pappritz;PPR
Prellerstraße;PRE
Kaufpark Nickern;PRL
Prohlis;PRO
Prof.-Ricker-Straße;PRS
Pestalozziplatz;PST
Plattleite;PTL
Putjatinplatz;PTP
Pulsnitzer Straße;PUL
Querallee;QUE
Quohrener Straße;QUO
Räcknitzhöhe;RAC
Rähnitzer Allee;RAL
Rankestraße;RAN
Rauensteinstraße;RAU
Robert-Sterl-Straße;RBS
Reichenhaller Straße;RCS
Radeberger Straße;RDB
Radeberger Straße Süd;RDS
Regensburger Straße;REG
Reichenbachstraße;REI
Rennplatzstraße;REN
Rethelstraße;RET
Riegelplatz;RIE
Rißweg;RIS
Reitbahnstraße;RIT
Rathaus Klotzsche;RKL
Rosa-Luxemburg-Platz;RLP
Rudolf-Leonhard-Straße;RLS
Reineckeweg;RNW
Rohrbahn;ROB
Rochwitz, Bühlauer Straße;ROC
Rossendorfer Straße;ROD
Rosenstraße;ROS
Rottwerndorfer Straße;ROT
Rathaus Pillnitz;RPI
Plauen, Rathaus;RPL
Rathaus Pieschen;RPN
Roseggerstraße;RSG
Reisstraße;RSS
Rathaus Leuben;RTL
Rathausstraße;RTS
Rüdesheimer Straße;RUD
Rubensweg;RUW
Sachsenallee;SAA
Saarstraße;SAR
Saßnitzer Straße;SAS
Saxoniastraße;SAX
Schanzenstraße;SAZ
Scharfenberger Straße;SBG
Straßburger Platz;SBP
Schule Gompitz;SCG
Schweriner Straße;SCH
Schaufußstraße;SCU
Südstraße;SDS
Seidnitzcenter;SEC
Seidnitzer Weg;SEI
Semmelweisstraße;SEM
Seewiesenweg;SEW
Stuttgarter Straße;SGS
Stadtgutstraße;SGU
Sagarder Weg;SGW
Saalhausener Straße;SHA
Schwimmhalle Bühlau;SHB
Schwimmhalle Freiberger Pl.;SHF
Schwimmhalle Klotzsche;SHK
Schillerstraße;SHL
Schillerplatz;SIP
Schlehenstraße;SLE
Schillingstraße;SLI
Selliner Straße;SLS
Schlüterstraße;SLT
Staats- und Unibibliothek;SLUB
Schönaer Straße;SNA
Schneebergstraße;SNS
Sosaer Straße;SOS
Sobrigauer Weg;SOW
St.-Pauli-Friedhof;SPF
Spitzhausstraße;SPH
Spitzwegstraße;SPI
Spenerstraße;SPS
Sörnewitzer Straße;SRN
Struppener Straße;SRU
Staffelsteinstraße;SSS
Scharfensteinstraße;SST
Stralsunder Straße;SSU
Steglichstraße;STE
Stauffenbergallee;STF
Straße des 17.Juni;STJ
Striesener Straße;STN
Strehlener Platz;STP
Stephanstraße;STS
Staats- und Unibibliothek;SUB
Südhöhe;SUE
Schunckstraße;SUK
Schulstraße;SUL
Schurichtstraße;SUR
Südvorstadt;SVS
Schiffswerft Laubegast;SWL
Synagoge;SYN
Schweizer Straße;SZS
Tannenstraße;TAN
Trachauer Straße;TAS
Taubenberg;TAU
Tatzberg;TBG
Tübinger Straße;TBS
Theilestraße;TEI
Tharandter Straße;THA
Theaterplatz;THE
Thäterstraße;THS
Tiergartenstraße;TIE
Trinitatisplatz;TIP
Thomas-Mann-Straße;TMS
Tännichtstraße;TNS
Tornaer Straße;TON
Troppauer Straße;TPS
Betriebshof Trachenberge;TRB
Tronitzer Straße;TRO
Trachenberger Platz;TRP
Trattendorfer Straße;TRS
TU Dresden;TU
Technische Universität;TUD
Uhlandstraße;UHL
Universitätsklinikum;UKD
Urnenhain;UNH
Urnenstraße;URN
Veilchenstraße;VEI
Van-Gogh-Straße;VGO
Vollmarstraße;VOL
Vorwerkstraße;VOW
Wächterstraße;WAC
Wasaplatz;WAS
Wilhelm-Busch-Straße Ost;WBO
Würzburger Straße;WBR
Wilhelm-Busch-Straße;WBU
Wachbergstraße;WCH
Weidentalstraße;WDS
Webergasse;WEB
Westendstraße;WEE
Werftstraße;WEF
Weißig (Einkaufszentrum);WEI
Wernerstraße;WER
Wägnerstraße;WGS
Wieckestraße;WIE
Wilschdorf Industriegebiet;WIG
Wilhelminenstraße;WIL
Wilder Mann;WIM
Winterbergstraße;WIN
Wilischstraße;WIS
Wittenberger Straße;WIT
Wilschdorfer Landstraße;WLS
Wilder-Mann-Straße;WMS
Windmühlenweg;WMW
Wölfnitz;WOL
Wölfnitzer Ring;WOR
Wostra;WOS
Weberplatz;WPL
Walpurgisstraße;WPS
Weißdornstraße;WSD
Washingtonstraße;WSH
Waldschlößchen;WSO
Weißeritzstraße;WSR
Waldschlößchenstraße;WSS
Waltherstraße;WTH
Waldteichstraße;WTS
Wurzener Straße;WUZ
Wasserwerk Tolkewitz;WWT
Weixdorf;WXD
Zeithainer Straße;ZEH
Zur Elbinsel;ZEI
Zellescher Weg;ZEL
Zschonergrundmühle;ZGM
Zachengrundring;ZGR
Zum Hutbergblick;ZHB
Zur Neuen Brücke;ZNB
Zinnowitzer Straße;ZNW
Zoo;ZOO
Zur Steinhöhe;ZSH
Zschonergrundstraße;ZSO
Zschierener Straße;ZSS
Zschertnitz;ZTZ
Zum Windkanal;ZUW
Zweibrüderweg;ZWE
Zwinglistraße;ZWI
Zwickauer Straße;ZWU
Zschertnitzer Straße;ZZN
